id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi_times,roi_currency,roi_percentage
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.358e-05,8002771058,16,13580797079,270177033,1.368e-05,1.291e-05,6.18421e-07,4.77089,361022823.0,4.72435,589260683559802.5,999982345144051.0,,8.616e-05,-84.27588,2021-10-28T03:54:55.568Z,5.6366e-11,24034990.53177,2020-11-28T11:26:25.838Z,,2024-09-09T19:10:52.410Z,,,
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2336.2,6784339879,17,6784339879,557176245,2347.33,2269.62,58.85,2.58433,194191082.0,2.94669,2907116.88724862,2907116.88724862,,4799.89,-51.43427,2021-11-09T00:00:00.000Z,82.1,2739.22795,2018-12-15T00:00:00.000Z,,2024-09-09T19:10:42.044Z,,,
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,10.56,6417436675,18,10553259296,361615607,10.81,10.21,0.293627,2.86131,176459879.0,2.82744,608099971.3083414,1000000000.0,1000000000.0,52.7,-80.0176,2021-05-10T00:13:57.214Z,0.148183,7006.09855,2017-11-29T00:00:00.000Z,,2024-09-09T19:10:52.344Z,,,
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,321.13,6345454331,19,6744141515,182079749,322.46,301.5,18.92,6.26221,379876614.0,6.36781,19758562.3966508,21000000.0,21000000.0,3785.82,-91.52701,2017-12-20T00:00:00.000Z,76.93,316.94015,2018-12-16T00:00:00.000Z,,2024-09-09T19:10:53.277Z,,,
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.3,6065832092,20,6413902905,136116862,4.3,4.12,0.160265,3.87038,225170088.0,3.85522,1410676854.51955,1491624601.2047,,54.98,-92.19216,2021-11-04T14:10:09.301Z,2.7,59.14333,2020-08-20T05:48:11.359Z,,2024-09-09T19:10:38.724Z,,,
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.001,5069192465,21,5069192465,88191314,1.004,0.997388,0.00045959,0.04594,-52128907.793442726,-1.01788,5064709160.84237,5064709160.84237,,1.22,-17.95123,2020-03-13T03:02:50.373Z,0.88196,13.39717,2023-03-11T07:50:50.514Z,,2024-09-09T19:10:52.015Z,,,
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,6.65,5010061115,22,6646700278,166181045,6.72,6.29,0.315236,4.97578,233395629.0,4.88616,753766667.0,1000000000.0,1000000000.0,44.92,-85.20391,2021-05-03T05:25:04.822Z,1.03,545.14714,2020-09-17T01:20:38.214Z,,2024-09-09T19:10:39.755Z,,,
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,5.37,4970661298,23,5291419394,1030484,5.43,5.35,0.00303185,0.05647,1442902.0,0.02904,925515727.9,985239504.0,,8.14,-34.15464,2022-02-08T17:40:10.285Z,0.799859,569.7112,2019-12-24T15:14:35.376Z,,2024-09-09T19:10:53.548Z,,,
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,61.03,4572480245,24,5124153164,415334341,61.28,59.66,0.083523,0.13705,4493732.0,0.09837,74956451.9834713,84000000.0,84000000.0,410.26,-85.13581,2021-05-10T03:13:07.904Z,1.15,5208.10799,2015-01-14T00:00:00.000Z,,2024-09-09T19:10:54.082Z,,,
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,4.02,4442864247,25,4748095003,233340147,4.01,3.69,0.306398,8.2577,335124990.0,8.15838,1107181322.94878,1183246170.6779,,20.44,-80.41376,2022-01-16T22:09:45.873Z,0.526762,659.93648,2020-11-04T16:09:15.137Z,,2024-09-09T19:10:55.317Z,,,
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.158601,3909610018,26,3909781040,35054077,0.158824,0.148788,0.00920572,6.16198,229914030.0,6.24818,24651947172.8894,24653025550.295,28704026601.0,0.207411,-23.55972,2024-08-01T00:40:47.164Z,0.00017105,92589.82993,2022-05-26T14:42:59.316Z,,2024-09-09T19:10:54.192Z,,,
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2447.37,3862740976,27,3862740976,21520602,2458.75,2375.98,62.95,2.64004,91493388.0,2.42608,1580598.84325127,1580598.84325127,,4196.87,-41.73385,2024-03-13T08:29:59.938Z,2231.18,9.59943,2024-01-08T03:35:28.624Z,,2024-09-09T19:10:40.299Z,,,
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,7.66,3599595259,28,4001629120,77370246,7.71,7.26,0.329726,4.49588,152866077.0,4.43511,469885174.204271,522366005.269526,,700.65,-98.90785,2021-05-10T16:05:53.653Z,2.87,167.08854,2023-09-22T00:29:57.369Z,,2024-09-09T19:10:54.641Z,,,
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,171.41,3157366412,29,3157366412,62930708,175.63,170.21,-0.04615699560025632,-0.02692,-6223405.869170666,-0.19672,18446744.0737096,18446744.0737096,,542.33,-68.47555,2018-01-09T00:00:00.000Z,0.216177,78985.84256,2015-01-14T00:00:00.000Z,,2024-09-09T19:10:54.976Z,,,
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,7.33e-06,3080070914,30,3080070914,1066154703,7.33e-06,6.86e-06,4.11065e-07,5.94165,169830328.0,5.83561,420690000000000.0,420690000000000.0,420690000000000.0,1.717e-05,-57.40181,2024-05-27T08:30:07.709Z,5.5142e-08,13161.07862,2023-04-18T02:14:41.591Z,,2024-09-09T19:10:39.722Z,,,
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,6.28,3054845449,31,6992548449,125605446,6.28,5.95,0.296409,4.95778,141820004.0,4.86848,487160539.970434,1115111626.66571,,19.92,-68.54197,2023-01-26T14:25:17.390Z,3.08,103.47341,2022-12-29T21:35:14.796Z,,2024-09-09T19:10:51.472Z,,,
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,1.19,3006938681,32,3137586329,280674632,1.2,1.074,0.109967,10.14793,274110605.0,10.03029,2521012371.0,2630547141.0,2630547141.0,3.45,-65.55971,2024-03-28T17:21:18.050Z,0.00816959,14461.54096,2020-03-13T02:24:18.347Z,,2024-09-09T19:10:52.724Z,12.767042475970346,usd,1276.7042475970345
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.092828,2742573839,33,4640999530,51901299,0.093072,0.089283,0.00338059,3.77941,96303295.0,3.63921,29548288446.975,50001786946.5427,50001786946.5427,0.875563,-89.39136,2018-01-03T00:00:00.000Z,0.00047612,19408.67477,2015-03-05T00:00:00.000Z,,2024-09-09T19:10:51.506Z,,,
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,18.32,2724375634,34,3860989820,91741961,18.39,17.72,0.527522,2.96453,78297909.0,2.95902,148673260.693692,210700000.0,210700000.0,167.09,-89.05792,2021-05-06T18:34:22.133Z,0.615038,2872.59786,2016-07-25T00:00:00.000Z,,2024-09-09T19:10:54.047Z,39.715545458149,usd,3971.5545458149
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/USDE.png?1716355685,0.999715,2694565632,35,2694565632,51634847,1.002,0.993183,0.00085679,0.08578,3757522.0,0.13964,2694037488.93746,2694037488.93746,,1.032,-3.08277,2023-12-20T15:38:34.596Z,0.965354,3.61641,2024-04-13T20:11:19.603Z,,2024-09-09T19:10:52.316Z,,,
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,1.0,2550178196,36,2550178196,4087939791,1.008,0.992454,0.00037405,0.03742,-14629062.744467258,-0.57038,2551762448.15,2551762448.15,,1.089,-8.27557,2024-05-20T19:42:15.377Z,0.942129,5.98019,2023-08-17T21:55:41.478Z,,2024-09-09T19:10:52.839Z,,,
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,0.925862,2478231523,37,9247257631,434640375,0.956423,0.898899,-0.008850003063307077,-0.94682,-31588741.35036564,-1.25861,2679963749.63389,10000000000.0,10000000000.0,2.17,-57.39684,2024-03-27T17:46:02.608Z,0.364846,153.51576,2023-10-19T10:40:30.078Z,,2024-09-09T19:10:39.729Z,,,
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,1.53,2268771503,38,2776601975,66043517,1.53,1.39,0.130174,9.30297,188250687.0,9.04825,1485494366.51293,1818000000.0,1818000000.0,3.86,-60.63285,2024-04-01T12:34:58.342Z,0.04559639,3236.38993,2020-03-13T02:29:26.415Z,,2024-09-09T19:10:51.175Z,11.745384969902409,usd,1174.538496990241
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,37.5,2248565042,39,8842770042,3228562,37.51,35.84,1.62,4.51573,95305602.0,4.42611,60000000.0,235957685.3,300000000.0,73.8,-49.29265,2024-03-14T00:30:12.502Z,0.580608,6345.6092,2019-01-14T00:00:00.000Z,,2024-09-09T19:10:37.466Z,,,
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.383925,2183143091,40,3934597836,8372581,0.386186,0.371881,0.00775945,2.06277,63710921.0,3.00604,5689293043.731947,10253601875.8545,,1.29,-70.30731,2024-03-13T18:55:06.692Z,0.344976,10.82262,2024-08-05T06:45:46.141Z,,2024-09-09T19:10:33.302Z,,,
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.079689,2143498327,41,2387130447,5018822,0.079873,0.077675,0.00192573,2.47639,48496077.0,2.31485,26938180068.5604,30000000000.0,,0.965407,-91.76631,2021-11-24T15:53:54.855Z,0.0121196,555.86878,2019-02-08T00:00:00.000Z,,2024-09-09T19:10:52.328Z,,,
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,3.59,2096395210,42,7027259613,213388972,3.66,3.36,0.208669,6.17539,121163727.0,6.13415,584707676.0,1959979978.0,1959979978.0,236.84,-98.49038,2021-04-01T13:29:41.564Z,2.64,35.3814,2022-12-16T22:45:28.552Z,,2024-09-09T19:10:53.350Z,,,
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,140.88,2093037276,43,2243160286,488734071,141.41,124.38,15.29,12.17141,221049876.0,11.8083,14929203.509817649,16000000.0,16000000.0,661.69,-78.8452,2021-05-18T21:19:59.514Z,26.02,437.90281,2020-11-05T09:20:11.928Z,,2024-09-09T19:10:52.514Z,,,
immutable-x,imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.27,2030617691,44,2529892743,53032097,1.27,1.19,0.069016,5.7691,109789635.0,5.71575,1605299431.3898141,2000000000.0,2000000000.0,9.52,-86.74165,2021-11-26T01:03:01.536Z,0.378055,233.86335,2022-12-31T07:36:37.649Z,,2024-09-09T19:10:54.264Z,,,
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,275.82,2029157388,45,5787745496,89984941,274.85,240.39,33.77,13.95197,250496578.0,14.08344,7362505.0,21000000.0,21000000.0,757.6,-63.70174,2024-03-07T18:45:36.466Z,30.83,791.98087,2023-05-14T08:57:53.732Z,,2024-09-09T19:10:50.959Z,,,
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,5.08,1992008800,46,2701390987,144359543,5.07,4.8,0.258724,5.37107,101254542.0,5.35525,392459381.455492,532219654.735492,,13.53,-62.67598,2024-03-17T16:30:24.636Z,0.03665669,13681.09121,2020-06-16T13:22:25.900Z,,2024-09-09T19:10:38.401Z,,,
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.051049,1885924394,47,2551124131,33775474,0.051371,0.04910835,0.00162334,3.28443,59082539.0,3.23414,36962615235.623,50000000000.0,50000000000.0,0.569229,-91.05692,2021-09-15T10:40:28.318Z,0.00986111,416.23599,2020-01-02T17:30:24.852Z,,2024-09-09T19:10:54.561Z,,,
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.523904,1828872706,48,5231135901,174244708,0.524396,0.501375,0.02044445,4.06079,68540537.0,3.89361,3496129217.0,10000000000.0,10000000000.0,2.39,-78.15587,2024-01-12T12:29:59.231Z,0.431578,20.98327,2024-08-05T11:35:54.024Z,,2024-09-09T19:10:52.053Z,,,
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.55697,1818685215,49,3462359218,88181845,0.558548,0.54292,0.01006787,1.84089,32055034.0,1.79416,3266841707.83684,6219316794.99,6219316794.99,1.54,-63.83437,2024-04-08T09:45:25.482Z,0.307978,80.69025,2023-10-18T02:50:46.942Z,,2024-09-09T19:10:54.573Z,,,
optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.5,1785660447,50,6457878111,137695462,1.5,1.39,0.105822,7.56426,123150284.0,7.40749,1187596466.0,4294967296.0,4294967296.0,4.84,-68.98723,2024-03-06T08:35:50.817Z,0.402159,273.57218,2022-06-18T20:54:52.178Z,,2024-09-09T19:10:55.159Z,,,
matic-network,matic,Polygon,https://coin-images.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.382798,1745799218,51,3824734636,89578739,0.385264,0.372182,0.00821739,2.19376,29363048.0,1.7107,4564497630.043058,10000000000.0,10000000000.0,2.92,-86.93312,2021-12-27T02:08:34.307Z,0.00314376,12021.30076,2019-05-10T00:00:00.000Z,,2024-09-09T19:10:37.902Z,144.55065865041118,usd,14455.065865041119
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.0215751,1744114885,52,1851796184,18146907,0.02162547,0.02030868,0.00110165,5.38085,85871808.0,5.17848,80985041177.0,85985041177.0,86712634466.0,0.280991,-92.35144,2021-04-19T01:08:21.675Z,0.00191713,1021.03665,2020-03-13T02:29:59.652Z,,2024-09-09T19:10:40.560Z,2.232834370917572,eth,223.2834370917572
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,17.11,1671907241,53,1710789687,109612426,17.14,16.05,0.998511,6.19899,96879196.0,6.15095,97727222.33,100000000.0,,52.62,-67.56013,2024-03-14T15:06:22.124Z,0.657401,2496.6011,2020-11-03T16:19:30.576Z,,2024-09-09T19:10:53.454Z,,,
dogwifcoin,wif,dogwifhat,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,1.65,1639134017,54,1639134017,559845124,1.64,1.5,0.136929,9.07686,132074065.0,8.76369,998926392.0,998926392.0,998926392.0,4.83,-65.99502,2024-03-31T09:34:58.366Z,0.00155464,105448.41528,2023-12-13T07:13:50.873Z,,2024-09-09T19:10:53.353Z,,,
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.05,1580985668,55,1581963607,136146510,4.05,3.74,0.286842,7.62775,112083371.0,7.63042,390688369.813272,390930035.085365,,44.45,-90.90912,2022-01-17T00:34:41.497Z,1.16,248.31995,2020-03-13T02:27:44.591Z,,2024-09-09T19:10:53.041Z,39.47343627266359,usd,3947.343627266359
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,10.82,1559110083,56,3732256121,2256955,10.85,10.75,0.071857,0.66838,9346390.0,0.60308,144118517.10815412,344996305.0,400000000.0,14.64,-26.05639,2022-10-28T12:32:18.119Z,3.06,253.68265,2023-02-13T19:01:21.899Z,,2024-09-09T19:10:53.135Z,,,
maker,mkr,Maker,https://coin-images.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1620.6,1513702473,57,1585605271,125359373,1660.28,1518.14,95.63,6.27074,94742190.0,6.67687,933298.183296734,977631.036950888,1005577.0,6292.31,-74.27604,2021-05-03T21:54:29.333Z,168.36,861.4253,2020-03-16T20:52:36.527Z,,2024-09-09T19:10:38.094Z,,,
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,2348.65,1419773216,58,1419773216,27333692,2348.95,2266.99,71.61,3.14507,42617683.0,3.09462,604999.999959841,604999.999959841,,2808.56,-16.43576,2024-08-24T16:52:46.091Z,2171.8,8.06488,2024-09-06T21:02:52.910Z,,2024-09-09T19:10:51.417Z,,,
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.142079,1355370232,59,1531307710,32089481,0.142695,0.132983,0.00830105,6.20509,77955347.0,6.10259,9548531509.16547,10788004319.0,10788004319.0,2.84,-95.00738,2021-02-12T07:28:45.775Z,0.052051,172.55088,2022-11-22T10:05:03.503Z,,2024-09-09T19:10:48.047Z,,,
arweave,ar,Arweave,https://coin-images.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1696504946,20.6,1346001381,60,1346001381,57674426,20.78,19.85,0.415792,2.05957,24252168.0,1.83485,65454185.5381511,65454185.5381511,66000000.0,89.24,-76.99359,2021-11-05T04:14:42.689Z,0.298788,6771.03095,2020-01-31T06:47:36.543Z,,2024-09-09T19:10:51.394Z,26.84337948762769,usd,2684.337948762769
helium,hnt,Helium,https://coin-images.coingecko.com/coins/images/4284/large/Helium_HNT.png?1696504894,7.77,1317494577,61,1732207100,28604859,8.4,7.61,-0.45523761406836183,-5.53557,-77386652.15462565,-5.5479,169610949.378002,223000000.0,223000000.0,54.88,-85.94257,2021-11-12T23:08:25.301Z,0.113248,6711.8876,2020-04-18T00:19:10.902Z,,2024-09-09T19:10:53.143Z,,,
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,0.935832,1311532906,62,1873617100,26920454,0.946509,0.929025,0.00067762,0.07246,3474467.0,0.26562,1400001000.0,2000000000.0,2000000000.0,1.48,-36.74878,2024-06-01T03:50:55.951Z,0.0142795,6452.38972,2020-06-25T04:17:05.895Z,,2024-09-09T19:10:53.012Z,,,
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,2620.7,1289447519,63,1289447519,10272231,2631.66,2541.99,70.23,2.75366,34316484.0,2.7341,492027.146422137,492027.146422137,,4814.31,-45.59004,2021-12-01T08:03:50.749Z,887.26,195.22956,2022-06-18T20:55:45.957Z,,2024-09-09T19:10:55.472Z,,,
fantom,ftm,Fantom,https://coin-images.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.456988,1281223046,64,1450931883,314357641,0.459815,0.404764,0.0497422,12.21431,140658758.0,12.33238,2803634835.52659,3175000000.0,3175000000.0,3.46,-86.81438,2021-10-28T05:19:39.845Z,0.00190227,23873.16845,2020-03-13T02:25:38.280Z,,2024-09-09T19:10:54.008Z,14.232920502936476,usd,1423.2920502936477
thorchain,rune,THORChain,https://coin-images.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,3.79,1268315079,65,1564707158,190146496,3.81,3.52,0.234584,6.59811,75844238.0,6.36026,335404329.0,413784842.0,500000000.0,20.87,-81.88738,2021-05-19T00:30:09.436Z,0.00851264,44300.6081,2019-09-28T00:00:00.000Z,,2024-09-09T19:10:39.957Z,98.73435333791826,usd,9873.435333791826
floki,floki,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.00012833,1242305328,66,1282034588,244308562,0.00012864,0.00012158,4.98e-06,4.03762,46715604.0,3.90733,9690107732757.0,10000000000000.0,10000000000000.0,0.00034495,-62.8954,2024-06-05T07:25:59.137Z,8.428e-08,151765.67598,2021-07-06T01:11:20.438Z,,2024-09-09T19:10:53.020Z,,,
theta-token,theta,Theta Network,https://coin-images.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,1.19,1189206137,67,1189206137,20005500,1.2,1.14,0.04451203,3.88084,40226957.0,3.5011,1000000000.0,1000000000.0,1000000000.0,15.72,-92.45414,2021-04-16T13:15:11.190Z,0.04039979,2836.12478,2020-03-13T02:24:16.483Z,,2024-09-09T19:10:39.962Z,6.943209739469413,usd,694.3209739469413
